Date,Open,High,Low,Close,Adj Close,Volume
2022-06-27,21028.238281,21478.089844,20620.199219,20735.478516,20735.478516,20965695707
2022-06-28,20731.544922,21164.423828,20228.812500,20280.634766,20280.634766,21381535161
2022-06-29,20281.169922,20364.156250,19937.791016,20104.023438,20104.023438,23552740328
2022-06-30,20108.312500,20141.160156,18729.656250,19784.726563,19784.726563,26267239923
2022-07-01,19820.470703,20632.671875,19073.708984,19269.367188,19269.367188,30767551159
2022-07-02,19274.835938,19371.748047,19027.082031,19242.255859,19242.255859,18100418740
2022-07-03,19242.095703,19558.269531,18966.951172,19297.076172,19297.076172,16390821947
2022-07-04,19297.314453,20258.748047,19063.066406,20231.261719,20231.261719,21594638208
2022-07-05,20225.353516,20635.466797,19341.232422,20190.115234,20190.115234,26715546990
2022-07-06,20194.619141,20595.529297,19823.511719,20548.246094,20548.246094,24598943708
2022-07-07,20547.814453,21771.816406,20296.103516,21637.587891,21637.587891,25814972520
2022-07-08,21637.154297,22314.941406,21257.453125,21731.117188,21731.117188,49899834488
2022-07-09,21716.828125,21877.138672,21445.957031,21592.207031,21592.207031,29641127858
2022-07-10,21591.080078,21591.080078,20727.123047,20860.449219,20860.449219,28688807249
2022-07-11,20856.353516,20856.353516,19924.539063,19970.556641,19970.556641,24150249025
2022-07-12,19970.474609,20043.445313,19308.531250,19323.914063,19323.914063,25810220018
2022-07-13,19325.972656,20223.052734,18999.953125,20212.074219,20212.074219,33042430345
2022-07-14,20211.466797,20789.894531,19689.257813,20569.919922,20569.919922,31158743333
2022-07-15,20573.156250,21138.244141,20397.000000,20836.328125,20836.328125,25905575359
2022-07-16,20834.103516,21514.404297,20518.898438,21190.316406,21190.316406,24302954056
2022-07-17,21195.041016,21600.640625,20778.179688,20779.343750,20779.343750,22927802083
2022-07-18,20781.912109,22633.033203,20781.912109,22485.689453,22485.689453,39974475562
2022-07-19,22467.849609,23666.962891,21683.406250,23389.433594,23389.433594,48765202697
2022-07-20,23393.191406,24196.818359,23009.949219,23231.732422,23231.732422,42932549127
2022-07-21,23233.201172,23388.322266,22431.148438,23164.628906,23164.628906,33631012204
2022-07-22,23163.751953,23671.927734,22603.416016,22714.978516,22714.978516,31421555646
2022-07-23,22706.984375,22977.210938,22002.910156,22465.478516,22465.478516,24021799169
2022-07-24,22465.509766,22974.001953,22306.839844,22609.164063,22609.164063,23565495303
2022-07-25,22607.156250,22649.121094,21361.642578,21361.701172,21361.701172,35574561406
2022-07-26,21361.121094,21361.121094,20776.816406,21239.753906,21239.753906,28624673855
2022-07-27,21244.169922,22986.529297,21070.806641,22930.548828,22930.548828,31758955233
2022-07-28,22933.640625,24110.470703,22722.265625,23843.886719,23843.886719,40212386158
2022-07-29,23845.212891,24294.787109,23481.173828,23804.632813,23804.632813,35887249746
2022-07-30,23796.818359,24572.580078,23580.507813,23656.207031,23656.207031,28148218301
2022-07-31,23652.070313,24121.642578,23275.703125,23336.896484,23336.896484,23553591896
2022-08-01,23336.718750,23464.787109,22890.796875,23314.199219,23314.199219,25849159141
2022-08-02,23308.433594,23415.041016,22710.083984,22978.117188,22978.117188,28389250717
2022-08-03,22981.302734,23578.650391,22747.835938,22846.507813,22846.507813,26288169966
2022-08-04,22848.214844,23198.009766,22485.701172,22630.957031,22630.957031,25120229769
2022-08-05,22626.833984,23422.828125,22612.177734,23289.314453,23289.314453,28881249043
2022-08-06,23291.423828,23326.562500,22961.279297,22961.279297,22961.279297,15978259885
2022-08-07,22963.505859,23359.009766,22894.556641,23175.890625,23175.890625,15886817043
2022-08-08,23179.527344,24203.689453,23176.546875,23809.486328,23809.486328,28575544847
2022-08-09,23811.484375,23898.615234,22982.000000,23164.318359,23164.318359,23555719219
2022-08-10,23162.898438,24127.414063,22771.519531,23947.642578,23947.642578,32837431722
2022-08-11,23948.345703,24822.628906,23900.996094,23957.529297,23957.529297,37127036580
2022-08-12,23957.203125,24412.566406,23657.265625,24402.818359,24402.818359,27265804688
2022-08-13,24402.187500,24860.050781,24346.115234,24424.068359,24424.068359,22987346289
2022-08-14,24429.056641,24974.914063,24206.259766,24319.333984,24319.333984,22994133555
2022-08-15,24318.316406,25135.589844,23839.775391,24136.972656,24136.972656,35123501685
2022-08-16,24126.136719,24228.416016,23733.500000,23883.291016,23883.291016,27753685646
2022-08-17,23881.316406,24407.058594,23243.353516,23335.998047,23335.998047,30931623076
2022-08-18,23341.039063,23563.832031,23177.601563,23212.738281,23212.738281,23747613147
2022-08-19,23213.312500,23213.312500,20868.847656,20877.552734,20877.552734,40509610260
2022-08-20,20872.841797,21350.806641,20856.730469,21166.060547,21166.060547,27595671000
2022-08-21,21160.392578,21668.845703,21103.197266,21534.121094,21534.121094,23102307723
2022-08-22,21531.462891,21531.462891,20939.183594,21398.908203,21398.908203,31666498758
2022-08-23,21401.044922,21646.203125,20955.138672,21528.087891,21528.087891,31878280659
2022-08-24,21526.455078,21783.076172,21195.005859,21395.019531,21395.019531,31962253368
2022-08-25,21395.458984,21789.636719,21362.441406,21600.904297,21600.904297,31028679593
2022-08-26,21596.085938,21804.908203,20199.482422,20260.019531,20260.019531,42326789564
2022-08-27,20262.480469,20340.775391,19890.523438,20041.738281,20041.738281,30116729776
2022-08-28,20041.035156,20139.054688,19616.814453,19616.814453,19616.814453,24366810591
2022-08-29,19615.154297,20357.462891,19600.785156,20297.994141,20297.994141,32637854078
2022-08-30,20298.611328,20542.644531,19617.640625,19796.808594,19796.808594,34483360283
2022-08-31,19799.582031,20420.990234,19799.582031,20049.763672,20049.763672,33225232872
2022-09-01,20050.498047,20198.390625,19653.968750,20127.140625,20127.140625,30182031010
2022-09-02,20126.072266,20401.568359,19814.765625,19969.771484,19969.771484,29123998928
2022-09-03,19969.718750,20037.009766,19698.355469,19832.087891,19832.087891,23613051457
2022-09-04,19832.470703,19999.689453,19636.816406,19986.712891,19986.712891,25245861652
2022-09-05,19988.789063,20031.160156,19673.046875,19812.371094,19812.371094,28813460025
2022-09-06,19817.724609,20155.269531,18800.171875,18837.667969,18837.667969,43403978910
2022-09-07,18837.683594,19427.171875,18644.466797,19290.324219,19290.324219,35239757134
2022-09-08,19289.941406,19417.351563,19076.714844,19329.833984,19329.833984,32194477850
2022-09-09,19328.140625,21439.410156,19310.962891,21381.152344,21381.152344,48469528171
2022-09-10,21376.912109,21760.275391,21168.722656,21680.539063,21680.539063,36913738894
2022-09-11,21678.542969,21770.552734,21406.945313,21769.255859,21769.255859,34493951963
2022-09-12,21770.148438,22439.181641,21603.896484,22370.449219,22370.449219,50212088965
2022-09-13,22371.480469,22673.820313,20062.669922,20296.707031,20296.707031,51091116622
2022-09-14,20184.554688,20467.201172,19793.396484,20241.089844,20241.089844,37872380889
2022-09-15,20242.289063,20318.166016,19636.734375,19701.210938,19701.210938,36389011503
2022-09-16,19704.005859,19870.628906,19400.076172,19772.583984,19772.583984,30123362273
2022-09-17,19777.033203,20162.531250,19777.033203,20127.576172,20127.576172,24957448100
2022-09-18,20127.234375,20127.234375,19387.492188,19419.505859,19419.505859,31254779144
2022-09-19,19418.572266,19639.480469,18390.318359,19544.128906,19544.128906,40177002624
2022-09-20,19545.591797,19602.457031,18813.455078,18890.789063,18890.789063,36791346508
2022-09-21,18891.283203,19674.630859,18290.314453,18547.400391,18547.400391,46363793975
2022-09-22,18534.650391,19456.910156,18415.591797,19413.550781,19413.550781,41135767926
2022-09-23,19412.400391,19464.671875,18617.552734,19297.638672,19297.638672,38896078052
2022-09-24,19296.990234,19310.197266,18861.974609,18937.011719,18937.011719,26149643168
2022-09-25,18936.310547,19134.732422,18696.468750,18802.097656,18802.097656,23359966112
2022-09-26,18803.900391,19274.873047,18721.285156,19222.671875,19222.671875,44148798321
2022-09-27,19215.669922,20334.406250,19211.433594,20213.445313,20213.445313,48466640896
